콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,등록일시,SNS공유수,인기점수,등록일시_1,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_000000000020685,관광지,제주월드21(철거),국문,제주월드21,,y,3,,12570,,3,2,41,0,0,y,y,n,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-25,5,25159,,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,2,,,,,,,,,,,,,,
CNTS_000000000020690,숙박,골든튤립호텔,국문,골든튤립호텔,,y,5,,116,,0,2,1,0,0,y,y,y,m,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-25,0,242,,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,4,,,,,,,,,,,,,,
CNTS_000000000021957,테마여행,제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>,국문,제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>,,y,5,,10984,,4,1,3,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-05-25,0,21985,,n,2017-05-25,2017-05-25,2017-05-25,2017-05-25,n,n,n,n,,y,y,y,y,y,y,y,y,2019-02-27,2019-02-14,2019-02-27,2019-02-14,n,n
CNTS_000000000022197,축제/행사,금능 원담축제,국문,금능 원담축제,,y,5,,5486,,0,4,2,0,4,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-25,11,10992,,n,2017-07-25,2017-07-25,2017-07-25,2017-07-25,y,y,y,y,,y,,y,,y,,y,,2019-07-19,,2019-07-19,,y,
CNTS_000000000022247,숙박,쇠소깍올레민박,국문,쇠소깍올레민박,,y,,,941,,0,0,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-07-28,0,1882,,n,2017-07-28,2017-07-28,2017-07-28,2017-07-28,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000018317,음식점,쉬림프박스,국문,쉬림프박스,,y,4,http://instagram.com/shrimp_box_jeju,7612,,2,15,107,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-10-06,0,15305,,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,20,,,,,,,,,,,,,,
CONT_000000000501366,음식점,좀녀마을뚝배기,국문,좀녀마을뚝배기,,y,,,3866,,0,0,35,0,0,y,y,y,y,y,y,y,y,y,y,y,n,n,y,y,y,2016-05-30,0,7732,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,n,n,y,,y,,y,,n,,y,,,,2019-02-25,,n,
CONT_000000000500401,관광지,신양해안도로,국문,신양해안도로,,y,,,3812,,2,0,38,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,7630,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CONT_000000000501069,숙박,제주필하우스,국문,제주필하우스,,y,,,1176,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,2352,7257403,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-22,,2019-11-22,,y,
CONT_000000000501409,음식점,하와이새우트럭,국문,하와이새우트럭,,y,5,,2476,,0,1,28,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,4957,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,2,y,,y,,y,,y,,,,2019-02-25,,n,
CONT_000000000501179,음식점,길벗식당,국문,길벗식당,,y,,,1408,,0,0,5,0,0,y,y,y,y,y,y,y,y,y,y,y,n,n,y,y,y,2016-05-30,0,2816,9247742,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,n,n,n,,y,,y,,n,,y,,,,2019-02-25,,n,
CONT_000000000501194,음식점,다래향,국문,다래향,,y,4,,3651,,0,2,12,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,7312,8994464,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,3,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_200000000012527,테마여행,JEJU ISLAND’S CULTURE OF STONE,영문,JEJU ISLAND’S CULTURE OF STONE,,y,0,,166,,0,0,0,0,0,,,,m,y,y,y,y,y,y,y,y,y,y,y,y,2021-12-28,0,332,,n,,2021-12-28,2022-01-24,2022-01-26,n,y,y,y,0,y,,y,m,y,,y,,,,2022-02-16,,y,n
CONT_000000000500846,숙박,라메종베니 두지엠,국문,라메종베니 두지엠,,y,,blog.naver.com/ghostface78,1236,,0,0,0,0,0,y,y,y,m,y,y,y,y,m,m,m,y,y,y,y,y,2016-05-30,0,2472,7954610,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CONT_000000000500857,숙박,로즈비치,국문,로즈비치,,y,,,1690,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3380,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-22,,2019-11-22,,y,
CNTS_000000000021907,축제/행사,방선문축제,국문,방선문 축제,,y,,,8188,,1,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-04-27,7,16379,,n,2017-04-27,2019-04-24,2019-04-24,2019-04-24,n,n,n,n,,y,,y,,y,,y,,2019-04-24,,2019-04-24,,n,
CNTS_000000000022620,축제/행사,평화의 섬 제주 아트의 섬이 되다,국문,평화의 섬 제주 아트의 섬이 되다,,y,,,340,,0,0,0,0,0,y,y,n,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-09-29,0,680,,n,2017-09-29,2017-09-29,2017-09-29,2017-09-29,n,n,n,n,,,,,,,,,,,,,,,
CONT_000000000500260,관광지,너븐숭이 4.3기념관,국문,너븐숭이 4.3기념관,,y,5,,32371,,9,40,64,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,12,64969,13002016,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,45,y,,y,,y,,y,,,,2020-08-20,,y,
CNTS_000000000020802,숙박,비비엔다,국문,비비엔다,,y,3,,1277,,0,1,1,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-30,1,2559,,n,2016-11-30,2016-11-30,2016-11-30,2016-11-30,y,n,n,n,1,,,,,,,,,,,,,,
CONT_000000000500232,관광지,백약이오름,국문,백약이오름,,y,5,,62704,,5,57,237,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,32,125708,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,109,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,2019-07-22,y,y
CONT_000000000501216,음식점,돌하르방식당,국문,돌하르방식당,,y,5,,4841,,0,1,25,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,9687,9246820,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,3,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000022790,테마여행,"(영특)겨울제주짜릿한 액티비티여행(인도네시아, 필리핀)",국문,"(영특)겨울제주짜릿한 액티비티여행(인도네시아, 필리핀)",,y,,,4364,,0,0,0,0,0,y,y,n,y,y,y,y,y,y,m,m,y,y,y,y,y,2018-01-31,0,8728,,n,2018-01-31,2018-01-31,2018-01-31,2018-01-31,n,n,n,n,,,y,,y,,y,,y,,2019-02-18,,2019-02-18,,n
CNTS_000000000022261,음식점,킨포크,국문,킨포크,,y,,,1476,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-31,0,2952,,n,2017-07-31,2017-07-31,2017-07-31,2017-07-31,y,y,y,y,,y,,y,,y,,y,,2019-09-11,,2019-09-11,,y,
CNTS_000000000022263,음식점,키스더티라미수,국문,키스더티라미수,,y,,,539,,0,0,0,0,0,y,y,n,m,y,y,y,y,m,m,m,y,y,y,y,y,2017-07-31,0,1078,,n,2017-07-31,2017-07-31,2017-07-31,2017-07-31,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022282,관광지,디스커버제주,국문,디스커버제주,,y,,,9651,,1,0,29,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,2017-08-01,1,19305,,n,2017-08-01,2019-08-12,2017-08-01,2017-08-01,y,y,y,y,,y,,y,,y,,y,,2019-08-12,,2019-08-12,,y,
CONT_000000000500058,관광지,"광이오름 (괭이오름, 肝列岳)",국문,"광이오름 (괭이오름, 肝列岳)",,y,,,2661,,0,0,0,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,0,5322,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-23,,2019-07-23,,y,
CNTS_000000000019089,관광지,오름터 민속마을,국문,오름터 민속마을,,y,,,4404,,1,0,19,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-19,0,8811,,n,2016-10-19,2016-10-19,2016-10-19,2016-10-19,y,y,y,y,,y,,y,,y,,y,,2019-07-23,,2019-07-23,,y,
CONT_000000000500560,관광지,제주승마공원,국문,제주승마공원,,y,5,jhrp.alltheway.kr/,18962,,1,1,54,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,28,37932,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,y,y,y,y,y,y,y,2019-12-19,2019-12-19,2019-02-25,2019-12-19,y,y
CONT_000000000500564,관광지,제주실탄사격장,국문,제주실탄사격장,,y,5,,75288,,6,3,121,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,78,150609,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,7,y,,y,,y,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000021969,숙박,동막골게스트하우스,국문,동막골게스트하우스,,y,,,1129,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-06-02,0,2258,,n,2017-06-02,2017-06-02,2017-06-02,2017-06-02,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000021986,음식점,함덕밀면,국문,함덕밀면,,y,,,2835,,1,0,18,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-06-13,0,5673,,n,2017-06-13,2017-06-13,2017-06-13,2017-06-13,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022800,축제/행사,"제주민속촌, 봄맞이 초가지붕 잇기 한창",국문,"제주민속촌, 봄맞이 초가지붕 잇기 한창",,y,5,,323,,0,3,0,0,4,y,y,n,y,y,y,y,y,m,m,m,y,y,y,y,y,2018-02-12,0,651,,n,2018-02-12,2018-02-12,2018-02-12,2018-02-12,n,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501163,음식점,골막식당,국문,골막식당,,y,5,,4769,,2,2,44,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,4,9554,4034095,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,1,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CONT_000000000500323,관광지,서귀포 축구공원,국문,서귀포 축구공원,,y,,,1372,,0,0,1,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,3,2744,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000019613,관광지,제주카약,국문,제주카약,,y,,,8674,,3,0,53,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-25,3,17357,,n,2016-10-25,2016-10-25,2016-10-25,2016-10-25,y,y,y,y,,y,,y,,y,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000022624,숙박,제주베스트힐 펜션&글램핑,국문,제주베스트힐 펜션&글램핑,,y,,,2605,,1,0,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-09-29,0,5213,,n,2017-09-29,2017-09-29,2017-09-29,2017-09-29,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020492,음식점,늘봄흑돼지,국문,늘봄흑돼지,,y,5,http://www.instagram.com/neulbom.jeju,6785,,3,4,48,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-22,1,13599,8939025,n,2016-11-22,2016-11-22,2016-11-22,2016-11-22,y,y,y,y,3,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CNTS_000000000020301,관광지,클럽나인브릿지,국문,클럽나인브릿지,,y,5,,1728,,0,2,3,0,0,y,y,y,y,y,y,y,y,t,t,t,y,y,y,y,y,2016-11-17,0,3466,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,n,n,n,3,y,,t,,y,,y,,,,2019-02-25,,n,
CNTS_000000000020305,음식점,치저스,국문,치저스,,y,5,,4263,,0,6,43,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-17,0,8556,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,n,n,n,12,,,,,,,,,,,,,,
CNTS_000000000021611,음식점,강정해녀의집,국문,강정해녀의집,,y,,,3447,,0,0,14,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-01-01,1,6894,,n,2017-01-01,2017-01-01,2017-01-01,2017-01-01,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000500326,관광지,서귀포시립기당미술관,국문,서귀포시립기당미술관,,y,,,7426,,0,0,16,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,5,14852,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000020698,음식점,한림로342쩜빵,국문,한림로342쩜빵,,y,4,,131,,0,2,0,0,0,y,y,y,m,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-25,0,272,,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,2,,,,,,,,,,,,,,
CONT_000000000500316,관광지,서건도,국문,서건도,,y,5,,8011,,1,4,17,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,8,16045,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,9,y,,y,,y,,y,,2019-07-23,,2019-07-23,,y,
CONT_000000000501228,음식점,마중물삼계탕,국문,마중물삼계탕,,y,,,1713,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3426,9449818,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CONT_000000000501236,음식점,머루황토불갈비,국문,머루황토불갈비,,y,,,713,,0,0,3,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,0,1426,9405752,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,y,,n,,y,,,,2019-02-25,,n,
CONT_000000000501246,음식점,물금,국문,물금,,y,,,1009,,0,0,5,0,0,y,y,n,m,y,y,y,y,m,m,m,y,y,y,y,y,2016-05-30,0,2018,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022093,축제/행사,제주국제크루즈포럼[전면 취소],국문,제주국제크루즈포럼[전면 취소],,y,,,4365,,1,0,0,0,0,y,y,y,y,y,y,y,y,y,w,y,n,n,n,y,y,2017-07-06,0,8733,,n,2017-07-06,2017-07-06,2017-07-06,2017-07-06,y,n,n,n,,y,,y,,n,,y,,2019-08-13,,2019-08-13,,n,
CONT_000000000500311,관광지,새신오름(신서악),국문,새신오름(신서악),,y,,,1343,,0,0,3,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,0,2686,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
CNTS_200000000009560,테마여행,딸기밭  걷기  ,국문,딸기밭  걷기  ,,y,0,,855,,0,0,0,0,0,y,y,n,w,y,y,,,y,m,m,y,,,y,,2019-12-09,0,1710,,n,2019-12-09,2019-12-09,,,y,y,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_200000000009562,축제/행사,제주 윈터 페스티벌,국문,제주 윈터 페스티벌,,y,0,,0,,0,0,0,0,0,y,y,n,m,y,,,,m,m,m,,,,,,2019-12-10,0,,,n,2019-12-10,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CONT_000000000500239,관광지,법화사지,국문,법화사지,,y,5,,3573,,0,2,9,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,7156,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,y,y,y,3,y,,y,,y,,y,,2019-07-23,,2019-07-23,,y,
CNTS_000000000020050,관광지,보롬왓,국문,보롬왓,,y,5,,67590,,19,57,653,0,7,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-04,74,135522,,n,2016-11-04,2016-11-04,2016-11-04,2016-11-04,y,y,y,y,126,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,2019-09-03,y,y
CNTS_000000000020053,음식점,쉬림프봉봉&올레파머스,국문,쉬림프봉봉&올레파머스,,y,5,,2686,,0,4,5,0,0,y,y,n,m,y,y,y,y,m,m,m,n,n,n,y,y,2016-11-04,0,5392,,n,2016-11-04,2016-11-04,2016-11-04,2016-11-04,n,n,n,n,4,y,,m,,n,,y,,,,2019-02-25,,n,
CONT_000000000501197,음식점,대관원,국문,대관원,,y,,,2853,,1,0,5,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,5709,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CONT_000000000501282,음식점,돌하르방 뚝배기,국문,돌하르방 뚝배기,,y,4,,3371,,2,1,25,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,6753,9246840,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,3,y,,y,,y,,y,,2019-10-31,,2019-10-31,,y,
CNTS_000000000019646,관광지,제주프린지페스티벌,국문,제주프린지페스티벌,,y,,,914,,0,0,2,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-10-26,0,1828,,n,2016-10-26,2016-10-26,2016-10-26,2016-10-26,n,n,n,n,,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000019943,음식점,웅스키친,국문,웅스키친,,y,5,,4707,,0,9,33,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-10-31,0,9459,,n,2016-10-31,2016-10-31,2016-10-31,2016-10-31,y,n,n,n,22,,,,,,,,,,,,,,
CNTS_000000000019946,관광지,귀빈사,국문,귀빈사,,y,5,,7201,,1,1,30,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-31,7,14410,,n,2016-10-31,2016-10-31,2016-10-31,2016-10-31,y,y,y,y,5,y,,y,,y,,y,,2019-05-22,,2019-05-22,,y,
CNTS_000000000019892,관광지,스쿠버스쿨,국문,스쿠버스쿨,,y,,,7265,,3,0,28,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-28,3,14539,,n,2016-10-28,2016-10-28,2016-10-28,2016-10-28,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CNTS_000000000022133,숙박,비오하우스,국문,비오하우스,,y,,,1276,,0,0,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-11,0,2552,13350263,n,2017-07-11,2017-07-11,2017-07-11,2017-07-11,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022161,축제/행사,쌈마이웨이 to 제주,국문,쌈마이웨이 to 제주,,y,5,,294,,0,0,0,0,0,y,y,n,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-07-17,0,588,,n,2017-07-17,2017-07-17,2017-07-17,2017-07-17,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022163,음식점,바다위에코끼리,국문,바다위에코끼리,,y,5,http://instagram.com/elephant_on_the_sea,4005,,1,2,15,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-17,1,8023,,n,2017-07-17,2017-07-17,2017-07-17,2017-07-17,y,y,y,y,5,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000022281,음식점,돌토고리족욕카페,국문,돌토고리족욕카페,,y,,,3792,,0,0,3,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-08-01,1,7584,,n,2017-08-01,2017-08-01,2017-08-01,2017-08-01,y,y,y,y,,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000022288,음식점,라스또르따스,국문,라스또르따스,,y,,,2090,,1,0,7,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-08-01,2,4183,11621283,n,2017-08-01,2017-08-01,2017-08-01,2017-08-01,y,y,y,y,,y,,y,,y,,y,,2019-05-09,,2019-04-12,,y,
